n;univers;univers_nom;titre;pourquoi;refuser
1145;histoire;"Histoire oubliée";"Frank Abagnale";"Il a prétendu avoir été pilote, médecin et avocat avant vingt et un ans, et les enquêteurs ont montré que la moitié de ses exploits étaient inventés.";
1146;histoire;"Histoire oubliée";"Fuchsprellen";"Les cours allemandes s'amusaient à catapulter des renards vivants à dix mètres de haut avec des filets tendus, devant les dames en toilette.";
1147;histoire;"Histoire oubliée";"Fées de Cottingley";"Deux fillettes ont photographié des fées en papier découpé, et l'auteur de Sherlock Holmes y a cru jusqu'à sa mort.";
1148;histoire;"Histoire oubliée";"Fête des fous";"Les clercs élisaient un évêque bouffon, chantaient les offices à l'envers et brûlaient de vieilles chaussures dans l'encensoir, à l'intérieur de l'église.";
1149;histoire;"Histoire oubliée";"Garum";"Les Romains assaisonnaient presque tout avec une sauce de poisson fermenté dont l'odeur avait fait interdire la fabrication en ville.";
1150;histoire;"Histoire oubliée";"George C. Parker";"Il a vendu plusieurs fois le pont de Brooklyn à des immigrants, que la police devait ensuite empêcher d'y installer des péages.";
1151;histoire;"Histoire oubliée";"George Psalmanazar";"Un Français blond s'est fait passer à Londres pour un indigène de Formose, a inventé un alphabet et une religion, et a enseigné sa langue à Oxford.";
1152;histoire;"Histoire oubliée";"Georgi Markov";"Un dissident bulgare a été tué à Londres par une bille de ricine grosse comme une tête d'épingle, tirée par la pointe d'un parapluie.";
1153;histoire;"Histoire oubliée";"Ghost Army";"Onze cents artistes et publicitaires américains ont simulé des divisions entières avec des haut-parleurs et des chars en caoutchouc.";
1154;histoire;"Histoire oubliée";"Giacomo Casanova";"Il s'est évadé des Plombs de Venise en perçant le plafond de sa cellule avec une barre de fer, puis a raconté la scène toute sa vie.";
1155;histoire;"Histoire oubliée";"Gong farmer";"Les vidangeurs de fosses anglais ne travaillaient que la nuit, gagnaient très bien leur vie et devaient loger à l'écart du reste de la ville.";
1156;histoire;"Histoire oubliée";"Grand Schisme d'Occident";"Pendant quarante ans, l'Europe a eu deux papes puis trois, chacun excommuniant les autres et tous leurs fidèles.";
1157;histoire;"Histoire oubliée";"Grande Peur";"Une rumeur de brigands invisibles a traversé la France en quelques jours de 1789 et armé des villages entiers contre des ennemis qui n'existaient pas.";
1158;histoire;"Histoire oubliée";"Grande guerre de l'Émeu";"L'armée australienne a déclaré la guerre à des oiseaux. Elle a perdu.";
1159;histoire;"Histoire oubliée";"Grande peste d'Eyam";"Un village anglais s'est mis en quarantaine volontaire en 1665 et laissait son argent tremper dans du vinaigre; un tiers des habitants est mort, la peste n'est pas passée.";
1160;histoire;"Histoire oubliée";"Grande Évasion";"Soixante-seize aviateurs alliés sont sortis d'un camp par un tunnel de cent dix mètres équipé d'un chemin de fer, de l'électricité et d'une pompe à air.";
1161;histoire;"Histoire oubliée";"Great Eastern";"Le plus grand navire du monde a ruiné ses armateurs, épuisé son ingénieur jusqu'à la mort, et fini sa carrière en posant le câble transatlantique.";
1162;histoire;"Histoire oubliée";"Great Molasses Flood";"Une vague de mélasse de huit mètres à trente-cinq kilomètres-heure. Vingt et un morts.";
1163;histoire;"Histoire oubliée";"Great Stink";"L'été 1858 à Londres : la Tamise a senti si mauvais que le Parlement a dû fuir et refaire les égouts.";
1164;histoire;"Histoire oubliée";"Guerre anglo-zanzibarienne";"La guerre la plus courte de l'histoire a duré trente-huit minutes, le temps que le palais du sultan s'effondre sous les obus britanniques.";
1165;histoire;"Histoire oubliée";"Guerre de Succession de Bavière";"Deux armées se sont fait face un an sans livrer bataille en 1778, occupées surtout à s'arracher les récoltes de pommes de terre.";
1166;histoire;"Histoire oubliée";"Guerre de Trois Cent Trente-Cinq Ans";"Les Pays-Bas et l'archipel des Scilly sont restés officiellement en guerre de 1651 à 1986, sans un seul coup de feu tiré.";
1167;histoire;"Histoire oubliée";"Guerre de l'oreille de Jenkins";"Un capitaine anglais a brandi son oreille coupée devant le Parlement, et l'Angleterre est partie en guerre contre l'Espagne pendant neuf ans.";
1168;histoire;"Histoire oubliée";"Guerre des Pâtisseries";"Un pâtissier français de Mexico a réclamé une indemnité pour sa boutique saccagée, et la flotte française est venue bombarder Veracruz.";
1169;histoire;"Histoire oubliée";"Guerre des Six Jours (Kisangani)";"Deux armées alliées à la même cause se sont entretuées six jours en pleine ville, à mille kilomètres de leurs propres frontières.";
1170;histoire;"Histoire oubliée";"Guerre du Chaco";"Deux des pays les plus pauvres d'Amérique du Sud se sont entretués trois ans pour un désert où l'on croyait du pétrole, qui n'y était pas.";
1171;histoire;"Histoire oubliée";"Guerre du Cochon";"Un cochon mangeant des pommes de terre a failli déclencher une guerre entre les États-Unis et le Royaume-Uni, avec quinze ans d'occupation militaire d'une île.";
1172;histoire;"Histoire oubliée";"Guerre du Seau";"Deux villes italiennes se sont affrontées en 1325 pour un seau en bois volé dans un puits, et le seau est toujours exposé à Modène.";
1173;histoire;"Histoire oubliée";"Guerre du Trône d'or";"Un gouverneur britannique a exigé de s'asseoir sur le siège sacré des Ashanti, et une reine de soixante ans lui a déclaré la guerre.";
1174;histoire;"Histoire oubliée";"Guerre du football";"Un match de qualification pour la Coupe du monde 1969 a servi de détonateur à une guerre de cent heures entre le Salvador et le Honduras.";
1175;histoire;"Histoire oubliée";"Guerres de la morue";"L'Islande a coupé les filets des chalutiers britanniques avec des cisailles remorquées et menacé de quitter l'OTAN, jusqu'à ce que Londres cède.";
1176;histoire;"Histoire oubliée";"Géant de Cardiff";"Un géant de pierre enterré exprès a attiré des foules payantes, et Barnum en a fabriqué une copie qu'il a exposée comme le vrai faux géant.";
1177;histoire;"Histoire oubliée";"Hanno (éléphant)";"Le pape Léon X a reçu un éléphant blanc du Portugal, l'a fait défiler dans Rome et lui a fait composer une épitaphe à sa mort.";
1178;histoire;"Histoire oubliée";"Helen Duncan";"La dernière condamnée pour sorcellerie au Royaume-Uni a été emprisonnée en 1944, pour avoir révélé en séance le naufrage d'un navire tenu secret.";
1179;histoire;"Histoire oubliée";"Henry Box Brown";"Un esclave de Virginie s'est fait expédier vers la liberté dans une caisse de quatre-vingts centimètres, vingt-sept heures durant, parfois la tête en bas.";
1180;histoire;"Histoire oubliée";"Henry Gunther";"Un soldat américain a chargé un poste de mitrailleuses à dix heures cinquante-neuf le 11 novembre 1918, et les Allemands lui faisaient signe de reculer.";
1181;histoire;"Histoire oubliée";"Hiroo Onoda";"Il a continué la Seconde Guerre mondiale seul dans la jungle jusqu'en 1974, refusant de croire qu'elle était finie.";
1182;histoire;"Histoire oubliée";"Homme de Piltdown";"Un crâne d'homme préhistorique a trompé les scientifiques britanniques quarante ans avant qu'on découvre une mâchoire d'orang-outan limée et teintée.";
1183;histoire;"Histoire oubliée";"Hyperinflation de la république de Weimar";"Les ouvriers étaient payés deux fois par jour et couraient dépenser leurs billets avant qu'ils ne perdent la moitié de leur valeur.";
1184;histoire;"Histoire oubliée";"Ibrahim Ier";"Un sultan ottoman tapissait ses appartements de fourrure de zibeline et aurait fait noyer deux cents femmes de son harem sur une simple rumeur.";
1185;histoire;"Histoire oubliée";"Impôt sur les portes et fenêtres";"Les Français ont muré leurs fenêtres pendant un siècle et demi pour payer moins d'impôt, et des façades entières sont restées aveugles.";
1186;histoire;"Histoire oubliée";"Incendie de Centralia";"Une décharge allumée en 1962 a mis le feu à une veine de charbon; la ville de Pennsylvanie brûle encore dessous et n'a plus d'habitants.";
1187;histoire;"Histoire oubliée";"Incendie de l'usine Triangle Shirtwaist";"Les portes verrouillées pour empêcher les pauses ont tué cent quarante-six ouvrières piégées au huitième étage.";
1188;histoire;"Histoire oubliée";"Incendie du Bazar de la Charité";"La lampe d'un projecteur de cinéma a enflammé un vélum en 1897, tuant cent vingt-six personnes, presque toutes des femmes de l'aristocratie.";
1189;histoire;"Histoire oubliée";"Incendie du Cocoanut Grove";"Une porte tournante bloquée par la panique a transformé une boîte de nuit de Boston en piège mortel pour près de cinq cents personnes.";
1190;histoire;"Histoire oubliée";"Incendie du cirque de Hartford";"Le chapiteau était imperméabilisé à la paraffine et à l'essence; il a brûlé en dix minutes en 1944 et tué cent soixante-sept spectateurs.";
1191;histoire;"Histoire oubliée";"Incendie du palais de Westminster";"On a brûlé dans les fourneaux du Parlement de vieux bâtons de comptabilité médiévaux, et le Parlement a brûlé avec eux.";
1192;histoire;"Histoire oubliée";"Incident Vela";"Un satellite américain a détecté en 1979 un double flash d'explosion nucléaire dans l'Atlantique sud, et personne n'a jamais reconnu l'essai.";
1193;histoire;"Histoire oubliée";"Incident de Petrich";"Un chien passé de Grèce en Bulgarie en 1925 a déclenché une invasion, des dizaines de morts et une intervention de la Société des Nations.";
1194;histoire;"Histoire oubliée";"Incitatus";"Caligula logeait son cheval dans une écurie de marbre avec des serviteurs et voulait, dit-on, en faire un consul de Rome.";
1195;histoire;"Histoire oubliée";"Indiana Pi Bill";"En 1897, la chambre de l'Indiana a voté à l'unanimité un texte fixant par la loi la valeur de pi, arrêté au Sénat par un mathématicien de passage.";
1196;histoire;"Histoire oubliée";"Isabel Godin des Odonais";"Après avoir perdu tous ses compagnons dans la jungle amazonienne, elle a marché seule pendant des semaines et retrouvé son mari vingt ans après leur séparation.";
1197;histoire;"Histoire oubliée";"Ishi";"Le dernier membre de son peuple est sorti de la forêt en 1911 et a passé ses dernières années à vivre dans un musée.";
1198;histoire;"Histoire oubliée";"Jamaica ginger";"Un alcool de contrebande frelaté a paralysé les jambes de dizaines de milliers d'Américains, laissant une démarche qui a donné son nom à une chanson.";
1199;histoire;"Histoire oubliée";"James Brooke";"Un aventurier anglais a reçu tout un royaume de Bornéo pour avoir maté une révolte, et sa famille y a régné pendant un siècle.";
1200;histoire;"Histoire oubliée";"Jasper Maskelyne";"Un magicien de music-hall a prétendu avoir fait disparaître le port d'Alexandrie, et l'histoire a mis cinquante ans à démêler le vrai du bluff.";
1201;histoire;"Histoire oubliée";"Jeanne Barret";"Déguisée en valet, elle a fait le tour du monde sur un navire du roi avant que l'équipage ne découvre, au milieu du Pacifique, qu'elle était une femme.";
1202;histoire;"Histoire oubliée";"Jeanne Ire de Castille";"Une reine a promené le cercueil de son mari à travers la Castille pendant des mois, en le faisant ouvrir régulièrement pour le contempler.";
1203;histoire;"Histoire oubliée";"John Darwin";"Un Anglais a simulé sa mort en canoë et vécu cinq ans caché dans la maison mitoyenne de celle de sa femme, jusqu'à une photo trouvée sur Internet.";
1204;histoire;"Histoire oubliée";"John Snow (médecin)";"Il a arrêté une épidémie de choléra à Londres en faisant démonter la poignée d'une pompe à eau.";
1205;histoire;"Histoire oubliée";"Juan Pujol García";"Un Espagnol a inventé vingt-sept agents imaginaires, s'est fait rembourser leurs frais par Berlin, et a été décoré par les deux camps.";
1206;histoire;"Histoire oubliée";"Juana Maria";"Une femme a vécu seule dix-huit ans sur une île californienne, et personne n'a jamais pu comprendre sa langue quand on l'a ramenée.";
1207;histoire;"Histoire oubliée";"Knocker-up";"Avant les réveille-matin, des gens payés pour cela tapaient aux fenêtres avec de longues perches pour réveiller les ouvriers.";
1208;histoire;"Histoire oubliée";"La Guerre des mondes (émission radiophonique)";"Une dramatique radio d'Halloween 1938 a fait croire à des auditeurs que le New Jersey était envahi par des Martiens.";
1209;histoire;"Histoire oubliée";"Lady Be Good (avion)";"Un bombardier américain porté disparu en 1943 a été retrouvé presque intact dans le Sahara seize ans plus tard, avec du café encore buvable dans les thermos.";
1210;histoire;"Histoire oubliée";"Lal Bihari";"Déclaré mort par son oncle pour lui voler ses terres, il a fondé en Inde une association de morts vivants et s'est présenté aux élections.";
1211;histoire;"Histoire oubliée";"Latude";"Enfermé trente-cinq ans pour avoir envoyé une fausse alerte à la Pompadour, il s'est évadé de la Bastille par une cheminée, avec une échelle de corde tressée dans du linge.";
1212;histoire;"Histoire oubliée";"Le Radeau de La Méduse";"Cent cinquante naufragés sont montés sur un radeau improvisé ; quinze en sont descendus, après treize jours de meurtres et de cannibalisme.";
1213;histoire;"Histoire oubliée";"Legs de Benjamin Franklin";"Il a laissé mille livres à deux villes en leur interdisant d'y toucher pendant deux siècles; elles ont encaissé des millions en 1990.";
1214;histoire;"Histoire oubliée";"Ligne 501";"Des dizaines de milliers de détenus ont posé une voie ferrée à travers le permafrost sibérien; abandonnée à la mort de Staline, elle n'a jamais servi.";
1215;histoire;"Histoire oubliée";"Llívia";"Un village espagnol est enclavé en France depuis 1659 parce que le traité cédait des villages, et que Llívia avait le statut de ville.";
1216;histoire;"Histoire oubliée";"Locomotive Act";"Une loi anglaise a exigé qu'un homme à pied agitant un drapeau rouge marche devant chaque automobile, limitée à six kilomètres à l'heure, jusqu'en 1896.";
1217;histoire;"Histoire oubliée";"Machine d'Anticythère";"Repêché par des pêcheurs d'éponges, cet engrenage grec prédisait les éclipses et les dates des Jeux olympiques.";
1218;histoire;"Histoire oubliée";"Marcus Garvey";"Il a lu dans la presse sa propre nécrologie, particulièrement sévère, et en est mort d'une attaque quelques jours plus tard.";
1219;histoire;"Histoire oubliée";"Margarine";"Plusieurs États américains ont obligé les fabricants à teindre la margarine en rose vif pour protéger les producteurs de beurre.";
1220;histoire;"Histoire oubliée";"Marie Curie";"Ses carnets de laboratoire sont encore si radioactifs qu'on les consulte en signant une décharge, dans des étuis de plomb.";
1221;histoire;"Histoire oubliée";"Marie-Charles David de Mayréna";"Un aventurier français s'est fait couronner roi des Sedang en Indochine, puis a tenté de vendre son royaume aux Anglais.";
1222;histoire;"Histoire oubliée";"Martin Guerre";"Un homme a pris la place d'un paysan disparu, vécu trois ans avec sa femme, et n'a été démasqué au procès que par le retour du vrai mari unijambiste.";
1223;histoire;"Histoire oubliée";"Mary (éléphante)";"Une éléphante de cirque a été pendue à une grue de chemin de fer devant cinq mille personnes dans le Tennessee, en 1916.";
1224;histoire;"Histoire oubliée";"Mary Mallon";"Une cuisinière en parfaite santé a contaminé des dizaines de personnes et fini ses jours enfermée sur une île pendant vingt-trois ans.";
1225;histoire;"Histoire oubliée";"Mary Toft";"Une servante anglaise a fait croire aux médecins du roi en 1726 qu'elle accouchait de lapins, jusqu'à ce qu'on la surprenne à en acheter.";
1226;histoire;"Histoire oubliée";"Massacre de la Saint-Valentin";"Des tueurs déguisés en policiers ont aligné sept hommes contre un mur, et personne n'a jamais été condamné.";
1227;histoire;"Histoire oubliée";"Mausolée de l'empereur Qin";"Le tombeau n'a jamais été ouvert : les textes anciens y décrivent des rivières de mercure, et le sol alentour en contient vraiment.";
1228;histoire;"Histoire oubliée";"Mignonette (yacht)";"Trois naufragés anglais ont mangé le mousse en 1884, et leur procès a fixé pour toujours que la nécessité n'excuse pas le meurtre.";
1229;histoire;"Histoire oubliée";"Mike (poulet)";"Un coq décapité a vécu dix-huit mois nourri à la pipette, et son propriétaire l'a exhibé dans tout le pays.";
1230;histoire;"Histoire oubliée";"Mokusatsu";"Un mot japonais ambigu dans la réponse à l'ultimatum de Potsdam a peut-être été compris comme un refus méprisant.";
1231;histoire;"Histoire oubliée";"Monténégro";"Oublié lors du traité de Portsmouth, le petit royaume est resté officiellement en guerre avec le Japon pendant plus d'un siècle.";
1232;histoire;"Histoire oubliée";"Moresnet neutre";"Un territoire minuscule ni belge ni prussien a survécu un siècle et a failli devenir le premier État espérantophone du monde.";
1233;histoire;"Histoire oubliée";"Mur de la peste";"Un mur de pierre sèche de vingt-cinq kilomètres a été bâti en Provence en 1721 pour arrêter une épidémie, gardé jour et nuit par des soldats.";
1234;histoire;"Histoire oubliée";"Mutinerie de Spithead";"La flotte britannique s'est mise en grève en 1797 avec des délégués élus, a continué de saluer les officiers, et a obtenu une augmentation et le pardon du roi.";
1235;histoire;"Histoire oubliée";"Mutinerie du Bounty";"Les mutins ont fondé une colonie cachée sur une île mal cartographiée, et on ne l'a retrouvée que dix-huit ans plus tard.";
1236;histoire;"Histoire oubliée";"Mutinerie du HMS Hermione";"L'équipage a jeté à la mer un capitaine si cruel que la Royal Navy a traqué les mutins pendant dix ans à travers le monde.";
1237;histoire;"Histoire oubliée";"Mutineries de 1917";"Des régiments français sont montés en ligne en bêlant comme des moutons; on a fusillé quarante-neuf hommes, puis amélioré les permissions et l'ordinaire.";
1238;histoire;"Histoire oubliée";"Naufrage du Birkenhead";"En 1852, les soldats se sont alignés en rangs sur le pont pendant qu'on évacuait les femmes et les enfants; la règle porte le nom du navire.";
1239;histoire;"Histoire oubliée";"Nikolaï Vavilov";"Ses collègues sont morts de faim en 1942 en protégeant une collection de graines qu'ils refusaient de manger.";
1240;histoire;"Histoire oubliée";"Nobuo Fujita";"Le seul pilote à avoir bombardé le continent américain est revenu vingt ans plus tard offrir le sabre de sa famille à la petite ville visée.";
1241;histoire;"Histoire oubliée";"Notgeld";"Faute de pièces, des villes allemandes ont émis de la monnaie de secours imprimée sur du cuir, de la soie, du bois et même des cartes à jouer.";
1242;histoire;"Histoire oubliée";"Nouvelle-Australie";"Des socialistes australiens ont fondé une colonie utopique au Paraguay en 1893, avec interdiction totale d'alcool; elle a éclaté en quelques mois.";
1243;histoire;"Histoire oubliée";"Nueva Germania";"Une colonie aryenne fondée au Paraguay en 1887 par la sœur de Nietzsche s'est enlisée dans la misère et le suicide de son fondateur.";
1244;histoire;"Histoire oubliée";"Opération Bernhard";"Des prisonniers de Sachsenhausen ont imprimé pour cent trente millions de livres de faux billets britanniques, jetés dans un lac autrichien en 1945.";
1245;histoire;"Histoire oubliée";"Opération Fortitude";"Des chars gonflables et une armée fantôme ont convaincu l'état-major allemand que le débarquement viserait le Pas-de-Calais.";
1246;histoire;"Histoire oubliée";"Opération Gold";"Britanniques et Américains ont creusé un tunnel sous Berlin-Est pour écouter les câbles soviétiques, que Moscou surveillait depuis le premier coup de pioche.";
1247;histoire;"Histoire oubliée";"Opération Mincemeat";"Les Britanniques ont habillé un cadavre en officier, l'ont lâché à la mer avec de faux plans, et Hitler a dégarni la Sicile.";
1248;histoire;"Histoire oubliée";"Opération Mongoose";"Pour ridiculiser Fidel Castro, la CIA a envisagé de saupoudrer ses chaussures de sels de thallium afin de faire tomber sa barbe.";
1249;histoire;"Histoire oubliée";"Ordre des Assassins";"Un ordre médiéval a bâti sa réputation sur des meurtres politiques ciblés, et son nom est devenu un mot commun dans toutes les langues d'Europe.";
1250;histoire;"Histoire oubliée";"Orélie-Antoine de Tounens";"Un avoué du Périgord s'est fait proclamer roi d'Araucanie et de Patagonie en 1860, avec drapeau, constitution, monnaie et ministres.";
1251;histoire;"Histoire oubliée";"Pacte Briand-Kellogg";"Soixante-trois pays ont solennellement mis la guerre hors la loi en 1928, onze ans avant la plus grande guerre de l'histoire.";
1252;histoire;"Histoire oubliée";"Papesse Jeanne";"Une légende tenace raconte qu'une femme a régné sur l'Église au IXe siècle, jusqu'à ce qu'elle accouche en pleine procession.";
1253;histoire;"Histoire oubliée";"Paul von Lettow-Vorbeck";"Le dernier général allemand a appris l'armistice deux semaines plus tard en Afrique et s'est rendu sans avoir jamais été battu.";
1254;histoire;"Histoire oubliée";"Pengő";"En 1946, la Hongrie a imprimé un billet de cent millions de milliards de pengő, et les prix changeaient plusieurs fois par jour.";
1255;histoire;"Histoire oubliée";"Peste de Marseille (1720)";"Le capitaine du Grand-Saint-Antoine a obtenu de décharger sa cargaison de soie malgré la quarantaine, et la moitié de la ville y est passée.";
1256;histoire;"Histoire oubliée";"Peter Strelzyk";"Deux familles est-allemandes ont cousu en secret une montgolfière dans leur grenier et franchi le Rideau de fer en vingt-huit minutes de vol.";
1257;histoire;"Histoire oubliée";"Philibert Aspairt";"Un portier a disparu dans les catacombes de Paris en 1793, et son squelette a été retrouvé onze ans plus tard à quelques mètres d'une sortie.";
1258;histoire;"Histoire oubliée";"Pierre de Rosette";"Le déchiffrement des hiéroglyphes tient à un décret administratif banal recopié en trois écritures.";
1259;histoire;"Histoire oubliée";"Pierre de Scone";"Quatre étudiants écossais ont volé la pierre du couronnement à l'abbaye de Westminster en 1950, l'ont cassée en deux et fait réparer chez un maçon.";
1260;histoire;"Histoire oubliée";"Planeur de Colditz";"Des prisonniers britanniques ont construit un planeur biplace dans les combles du château, avec des draps, du bois de plancher et de la bouillie d'avoine.";
1261;histoire;"Histoire oubliée";"Pont de Londres (Lake Havasu City)";"Un Américain a acheté le pont de Londres en 1968, l'a fait démonter pierre par pierre et remonter dans le désert de l'Arizona.";
1262;histoire;"Histoire oubliée";"Poyais";"Un Écossais a inventé un pays entier d'Amérique centrale, vendu des terres et des obligations, et envoyé des colons mourir sur une côte vide.";
1263;histoire;"Histoire oubliée";"Princesse Caraboo";"Une servante anglaise a inventé une langue et un royaume asiatique fictif, et la haute société l'a hébergée dix semaines comme une princesse naufragée.";
1264;histoire;"Histoire oubliée";"Principauté de Sealand";"Un coup d'État avec prise d'otage a eu lieu sur cette plateforme de quatre cents mètres carrés, et l'Allemagne a envoyé un diplomate négocier.";
1265;histoire;"Histoire oubliée";"Procès d'animaux";"Des tribunaux européens ont jugé des cochons, des rats et des hannetons, avec avocats commis d'office et sentences exécutées publiquement.";
1266;histoire;"Histoire oubliée";"Procès des sorcières de Salem";"Les accusations reposaient sur des « preuves spectrales » : des visions que seules les accusatrices pouvaient voir.";
1267;histoire;"Histoire oubliée";"Prohibition aux États-Unis";"Le gouvernement a délibérément empoisonné l'alcool industriel, tuant des milliers de buveurs pour décourager la contrebande.";
1268;histoire;"Histoire oubliée";"Prohibition de la bière en Islande";"La bière est restée interdite en Islande jusqu'au 1er mars 1989, alors que la vodka était en vente libre depuis des décennies.";
1269;histoire;"Histoire oubliée";"Projet Habbakuk";"Churchill a fait construire un prototype de porte-avions en glace mélangée à de la sciure, et un officier a tiré dessus au revolver pour prouver sa solidité.";
1270;histoire;"Histoire oubliée";"Projet Pigeon";"Un psychologue américain a dressé des pigeons à guider des missiles en picorant la cible sur un écran, et le programme a été financé pendant des années.";
1271;histoire;"Histoire oubliée";"Pure finder";"À Londres, des gens vivaient de la collecte des excréments de chien, revendus aux tanneries pour assouplir le cuir des reliures et des gants.";
1272;histoire;"Histoire oubliée";"R. A. Radford";"Un prisonnier de guerre a décrit l'économie de son camp, où la cigarette servait de monnaie et connaissait inflation, spéculation et faux-monnayeurs.";
1273;histoire;"Histoire oubliée";"Radium Girls";"Des ouvrières taillaient leur pinceau au radium entre leurs lèvres, jusqu'à ce que leurs mâchoires se désagrègent.";
1274;histoire;"Histoire oubliée";"Rai (monnaie)";"Les habitants de Yap payaient avec des disques de pierre de plusieurs tonnes qu'on ne déplaçait jamais, dont un tombé au fond de la mer et toujours dépensé.";
1275;histoire;"Histoire oubliée";"Rationnement au Royaume-Uni";"Les Britanniques ont continué de présenter des tickets de rationnement neuf ans après la fin de la guerre, jusqu'en juillet 1954.";
1276;histoire;"Histoire oubliée";"Rats d'Autun";"Un avocat du XVIe siècle a plaidé que ses clients, des rats dûment convoqués, ne pouvaient se présenter sans traverser un chemin plein de chats.";
1277;histoire;"Histoire oubliée";"Richard Sorge";"Un journaliste allemand en poste à Tokyo a donné à Moscou la date exacte de l'invasion nazie, et Staline a jugé l'information sans intérêt.";
1278;histoire;"Histoire oubliée";"Robert Falcon Scott";"Il est mort à dix-huit kilomètres d'un dépôt de vivres, et son journal s'arrête au milieu d'une phrase.";
1279;histoire;"Histoire oubliée";"Robert Liston";"Ce chirurgien célèbre pour sa vitesse aurait réussi l'unique opération de l'histoire avec un taux de mortalité de trois cents pour cent.";
1280;histoire;"Histoire oubliée";"Robert Smalls";"Un esclave a volé un navire confédéré déguisé en son capitaine, l'a livré à l'Union avec sa famille à bord, et est devenu membre du Congrès.";
1281;histoire;"Histoire oubliée";"Rockall";"Un rocher de trente mètres perdu en Atlantique nord a été annexé par un sergent britannique en 1955, et trois pays s'en disputent encore les fonds marins.";
1282;histoire;"Histoire oubliée";"Roy Sullivan";"Un garde forestier a été frappé sept fois par la foudre en trente-cinq ans, et est mort d'une balle par chagrin d'amour.";
1283;histoire;"Histoire oubliée";"Royaume de Redonda";"Ce rocher caribéen inhabité a une lignée de rois qui sont tous des écrivains, se transmettant le titre par testament.";
1284;histoire;"Histoire oubliée";"Rupture du barrage de Banqiao";"Un barrage conçu pour résister à une crue millénaire a cédé en 1975, tuant des dizaines de milliers de personnes dans un silence officiel de vingt ans.";
1285;histoire;"Histoire oubliée";"Réparations de guerre allemandes";"L'Allemagne a versé le dernier virement des réparations de 1919 le 3 octobre 2010, quatre-vingt-onze ans après le traité.";
1286;histoire;"Histoire oubliée";"République de Cospaia";"Une erreur de tracé de frontière a créé en 1440 une république indépendante de quelques centaines d'habitants, qui a duré trois cent soixante-cinq ans.";
1287;histoire;"Histoire oubliée";"République du Saugeais";"Un préfet plaisantin a demandé son laissez-passer à un aubergiste du Doubs en 1947, et le canton élit depuis une présidente avec hymne et douaniers.";
1288;histoire;"Histoire oubliée";"Résurrectionnistes";"Les familles anglaises montaient la garde sur les tombes fraîches, car les écoles de médecine payaient comptant les cadavres déterrés de la nuit.";
1289;histoire;"Histoire oubliée";"Révolution de Zanzibar";"Un maçon ougandais sans formation militaire a renversé un sultanat vieux de deux siècles en une nuit, avec quelques centaines d'hommes armés de lances.";
1290;histoire;"Histoire oubliée";"Sac de Baltimore";"En 1631, des corsaires barbaresques ont enlevé la population entière d'un village irlandais, et presque personne n'en est jamais revenu.";
1291;histoire;"Histoire oubliée";"Saint Guinefort";"Les paysans du Dombes ont vénéré pendant des siècles un lévrier martyr, et l'Inquisition a dû venir interdire son pèlerinage.";
1292;histoire;"Histoire oubliée";"Salomon August Andrée";"Trois Suédois sont partis au pôle Nord en ballon en 1897 ; on a retrouvé leurs corps et leurs pellicules encore développables trente-trois ans plus tard.";
1293;histoire;"Histoire oubliée";"Siméon le Stylite";"Un ascète syrien a vécu trente-sept ans au sommet d'une colonne de quinze mètres, arbitrant d'en haut les querelles de ses visiteurs.";
1294;histoire;"Histoire oubliée";"Singe de Hartlepool";"Les habitants du port anglais auraient pendu un singe rescapé d'un naufrage, le prenant pour un espion français déguisé.";
1295;histoire;"Histoire oubliée";"Siège d'Ostende";"Trois ans de siège, environ cent mille morts, pour une ville que les vainqueurs ont fini par occuper entièrement rasée.";
1296;histoire;"Histoire oubliée";"Siège de Baler";"Cinquante soldats espagnols ont tenu une église des Philippines pendant 337 jours, refusant de croire que leur guerre était finie depuis des mois.";
1297;histoire;"Histoire oubliée";"Siège de Candie";"Les Ottomans ont assiégé la ville crétoise vingt et un ans d'affilée, ce qui en fait le plus long siège de l'histoire.";
1298;histoire;"Histoire oubliée";"Siège de Ceuta";"Les Marocains ont assiégé Ceuta vingt-six ans sans interruption, pendant que les habitants recevaient courrier et renforts par la mer.";
1299;histoire;"Histoire oubliée";"Sommeil segmenté";"Avant l'éclairage artificiel, on dormait en deux fois, avec une heure de veille au milieu de la nuit pour prier, bavarder ou faire l'amour.";
1300;histoire;"Histoire oubliée";"Stanislav Petrov";"Un officier soviétique a désobéi à son propre système d'alerte en 1983 et empêché seul une riposte nucléaire contre les États-Unis.";
1301;histoire;"Histoire oubliée";"Suette anglaise";"Une maladie qui tuait en quelques heures a frappé l'Angleterre cinq fois puis a disparu à jamais, sans qu'on sache ce que c'était.";
1302;histoire;"Histoire oubliée";"Sultana (bateau à vapeur)";"Le pire naufrage de l'histoire américaine a fait plus de morts que le Titanic, en 1865, et presque personne n'en a parlé.";
1303;histoire;"Histoire oubliée";"Système de Law";"Un Écossais a convaincu la France d'imprimer du papier-monnaie adossé à la Louisiane; en 1720 la rue Quincampoix s'est effondrée et le mot banque est resté suspect un siècle.";
1304;histoire;"Histoire oubliée";"Taxe sur la barbe";"Pierre le Grand a taxé la barbe des Russes et remettait un jeton de cuivre à porter sur soi à ceux qui payaient pour garder la leur.";
